model,qid,category,recall@5,recall@10,recall@20,mrr,ndcg@10
multilingual-e5-small,RQ-004,simple_penalty,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-005,simple_penalty,0.5,1.0,1.0,1.0,0.8065735963827293
multilingual-e5-small,RQ-006,multi_intent,0.0,0.0,0.5,0.0625,0.0
multilingual-e5-small,RQ-007,multi_intent,0.5,0.5,0.5,1.0,0.8772153153380493
multilingual-e5-small,RQ-008,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-009,multi_intent,1.0,1.0,1.0,1.0,1.0
multilingual-e5-small,RQ-010,multi_intent,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-011,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-012,cross_reference,0.0,0.0,1.0,0.05555555555555555,0.0
multilingual-e5-small,RQ-013,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-014,cross_reference,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-015,cross_reference,1.0,1.0,1.0,1.0,1.0
multilingual-e5-small,RQ-016,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-017,procedure,1.0,1.0,1.0,0.2,0.38685280723454163
multilingual-e5-small,RQ-018,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-019,procedure,1.0,1.0,1.0,1.0,1.0
multilingual-e5-small,RQ-020,procedure,0.0,0.0,0.0,0.0,0.0
multilingual-e5-small,RQ-021,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-small,RQ-022,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-small,RQ-023,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-small,RQ-024,out_of_scope,1.0,1.0,1.0,0.0,0.0
multilingual-e5-small,RQ-025,out_of_scope,1.0,1.0,1.0,0.0,0.0
