chunker,qid,category,latency_s,recall@5_khoan,recall@10_khoan,recall@20_khoan,mrr_khoan,ndcg@10_khoan,recall@5_doc,recall@10_doc,recall@20_doc,mrr_doc,ndcg@10_doc
hierarchical,RQ-017,procedure,0.1641234290000284,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,1.0,1.0,1.0,0.2,0.7430599943425638
hierarchical,RQ-018,procedure,0.1920061629934935,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0951002192089536
hierarchical,RQ-019,procedure,0.1404461479978636,1.0,1.0,1.0,0.5,0.6309297535714575,1.0,1.0,1.0,0.5,1.0616063116448506
hierarchical,RQ-020,procedure,0.17170068599807564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.9905705161053366
hierarchical,RQ-021,out_of_scope,0.15384011299465783,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
hierarchical,RQ-022,out_of_scope,0.15562440099893138,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
hierarchical,RQ-023,out_of_scope,0.17250969799351878,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
hierarchical,RQ-024,out_of_scope,0.17926754801010247,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
hierarchical,RQ-025,out_of_scope,0.15981669699249323,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
fixed_512,RQ-001,simple_penalty,0.17079078999813646,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.543559338088346
fixed_512,RQ-002,simple_penalty,0.09369656599301379,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.543559338088346
fixed_512,RQ-003,simple_penalty,0.05159080200246535,0.0,0.0,0.0,0.029411764705882353,0.0,1.0,1.0,1.0,1.0,4.543559338088346
fixed_512,RQ-004,simple_penalty,0.05203920800704509,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.543559338088346
fixed_512,RQ-005,simple_penalty,0.0541183149907738,0.5,1.0,1.0,0.5,0.5802792108518124,1.0,1.0,1.0,1.0,3.3863221553163427
fixed_512,RQ-006,multi_intent,0.09811107198765967,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.187352150980324
fixed_512,RQ-007,multi_intent,0.05235492798965424,0.5,0.5,1.0,1.0,0.6131471927654584,1.0,1.0,1.0,1.0,3.612882780014953
fixed_512,RQ-008,multi_intent,0.062414770989562385,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25,0.719741384391281
fixed_512,RQ-009,multi_intent,0.06535228199209087,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.3080998814132716
fixed_512,RQ-010,multi_intent,0.06732063299568836,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,2.2367119509644584
fixed_512,RQ-011,cross_reference,0.050416819998645224,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.2247467816183653
fixed_512,RQ-012,cross_reference,0.05353716301033273,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.894761127969284
fixed_512,RQ-013,cross_reference,0.05186819200753234,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.8676417045359166
fixed_512,RQ-014,cross_reference,0.07727091900596861,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.7544945117704582
fixed_512,RQ-015,cross_reference,0.05808568200154696,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,1.0,1.0,1.0,0.5,2.066611708871935
fixed_512,RQ-016,procedure,0.06631949900474865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_512,RQ-017,procedure,0.05440443500992842,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.8562071871080221
fixed_512,RQ-018,procedure,0.0833374279900454,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.4850344669600535
fixed_512,RQ-019,procedure,0.04958321301091928,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25,0.43067655807339306
fixed_512,RQ-020,procedure,0.05002659099409357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_512,RQ-021,out_of_scope,0.05385065000155009,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
fixed_512,RQ-022,out_of_scope,0.07389449900074396,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
fixed_512,RQ-023,out_of_scope,0.046974132987088524,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
fixed_512,RQ-024,out_of_scope,0.04869876099110115,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
fixed_512,RQ-025,out_of_scope,0.04791102900344413,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
